AgentID,Age,HHID,SchoolID,WorkplaceID,IsFarm,InFarmerHousehold
1,12,574,3,0,false,false
2,66,1423,0,28,false,false
3,11,1643,3,0,false,false
4,47,290,0,1,false,false
5,9,770,6,0,false,false
6,70,1684,0,21,false,false
7,11,848,2,0,false,false
8,72,1880,0,44,false,false
9,41,1527,0,46,false,false
10,69,359,0,44,false,false
11,42,2152,0,13,false,false
12,47,2295,0,24,false,false
13,11,2435,9,0,false,false
14,20,1954,8,0,false,false
15,9,2354,4,0,false,false
16,54,925,0,41,false,false
17,24,453,2,0,false,false
18,70,479,0,16,false,false
19,14,756,1,0,false,false
20,21,2445,4,0,false,false
21,72,728,0,7,false,false
22,29,554,9,0,false,false
23,13,702,5,0,false,false
24,36,388,0,25,false,false
25,55,2361,0,2,false,false
26,33,94,0,10,false,false
27,42,2219,0,10,false,false
28,68,218,0,15,false,false
29,55,965,0,34,false,false
30,28,2421,9,0,false,false
31,74,602,0,25,false,false
32,33,218,0,13,false,false
33,45,1569,0,23,false,false
34,68,778,0,47,false,false
35,35,1248,0,20,true,true
36,32,202,0,46,false,false
37,70,2278,0,36,false,false
38,55,1154,0,6,false,false
39,54,2329,0,28,false,false
40,78,1649,0,48,false,false
41,13,1341,2,0,false,false
42,20,1166,6,0,false,false
43,17,797,8,0,false,false
44,28,211,9,0,false,false
45,48,328,0,27,false,false
46,33,428,0,44,false,false
47,43,2026,0,29,false,true
48,19,1692,2,0,false,false
49,35,1247,0,45,false,false
50,69,346,0,38,false,false
51,21,2033,4,0,false,false
52,53,1823,0,45,false,false
53,18,834,1,0,false,false
54,40,1328,0,17,false,false
55,17,2335,8,0,false,false
56,17,782,2,0,false,false
57,62,1967,0,18,false,false
58,49,491,0,5,false,false
59,63,421,0,11,false,false
60,78,686,0,20,true,true
61,50,100,0,35,false,false
62,12,558,5,0,false,false
63,79,1899,0,5,false,false
64,27,176,5,0,false,false
65,53,1459,0,50,false,false
66,39,1977,0,39,false,false
67,65,2345,0,37,false,false
68,28,2062,4,0,false,false
69,11,447,3,0,false,false
70,73,2145,0,24,false,true
71,40,2215,0,8,false,false
72,31,1941,0,2,false,false
73,29,1524,10,0,false,false
74,53,1258,0,38,false,false
75,30,517,0,14,false,false
76,35,240,0,17,false,false
77,38,690,0,13,false,false
78,55,1597,0,26,false,false
79,54,1012,0,23,false,false
80,51,1774,0,6,false,false
81,23,2138,1,0,false,false
82,73,2146,0,50,false,false
83,22,1828,7,0,false,false
84,27,58,10,0,false,false
85,65,1574,0,10,false,false
86,49,1642,0,40,false,false
87,25,2003,9,0,false,false
88,59,276,0,20,true,true
89,19,1884,3,0,false,false
90,49,762,0,20,true,true
91,5,1614,5,0,false,false
92,13,609,2,0,false,false
93,33,2426,0,4,false,true
94,76,915,0,18,false,false
95,64,2295,0,21,false,false
96,60,1555,0,9,false,false
97,8,1225,2,0,false,false
98,6,1575,7,0,false,false
99,55,443,0,40,false,false
100,71,1170,0,10,false,false
101,58,1107,0,41,false,false
102,42,722,0,42,false,false
103,53,371,0,5,false,false
104,77,2090,0,46,false,false
105,79,1179,0,13,false,false
106,54,1750,0,31,false,false
107,43,710,0,39,false,false
108,29,2185,3,0,false,false
109,70,1461,0,48,false,true
110,28,1576,5,0,false,false
111,50,1957,0,14,false,false
112,72,1871,0,23,false,false
113,45,1199,0,27,false,false
114,77,50,0,22,false,false
115,72,603,0,6,false,false
116,22,119,6,0,false,false
117,65,1812,0,24,false,false
118,21,763,5,0,false,false
119,7,1659,3,0,false,false
120,40,437,0,25,false,false
121,48,2323,0,49,false,false
122,60,615,0,5,false,false
123,78,464,0,2,false,false
124,75,761,0,3,false,true
125,66,963,0,46,false,false
126,17,1133,10,0,false,false
127,60,1753,0,49,false,false
128,76,422,0,17,false,false
129,37,2474,0,4,false,false
130,74,1387,0,33,false,false
131,64,1763,0,21,false,false
132,73,684,0,50,false,false
133,13,2376,2,0,false,false
134,78,484,0,40,false,false
135,32,2404,0,11,false,false
136,29,2313,2,0,false,false
137,33,523,0,14,false,false
138,52,333,0,46,false,true
139,28,825,8,0,false,false
140,67,2443,0,35,false,false
141,25,1829,2,0,false,true
142,46,446,0,41,false,false
143,7,1292,6,0,false,false
144,49,222,0,15,false,false
145,54,1162,0,36,false,false
146,66,1196,0,42,false,true
147,27,1924,4,0,false,false
148,8,848,4,0,false,false
149,35,280,0,47,false,false
150,56,2187,0,46,false,false
151,12,114,5,0,false,false
152,34,1294,0,42,false,false
153,78,509,0,35,false,false
154,33,1058,0,16,false,false
155,17,1422,6,0,false,false
156,42,1680,0,35,false,false
157,25,2472,9,0,false,false
158,8,1604,3,0,false,false
159,57,198,0,37,false,false
160,76,1374,0,36,false,false
161,20,843,8,0,false,false
162,60,715,0,26,false,false
163,43,715,0,1,false,false
164,6,1894,3,0,false,false
165,23,2481,4,0,false,false
166,71,56,0,32,false,false
167,67,2290,0,3,false,false
168,53,1929,0,2,false,false
169,6,672,10,0,false,true
170,34,809,0,22,false,false
171,46,478,0,40,false,false
172,71,2477,0,15,false,false
173,73,2183,0,10,false,false
174,27,858,10,0,false,false
175,70,1025,0,40,false,false
176,43,1024,0,1,false,false
177,37,607,0,5,false,false
178,16,2411,3,0,false,false
179,23,616,10,0,false,true
180,59,2383,0,6,false,false
181,38,1787,0,21,false,false
182,31,79,0,44,false,false
183,66,592,0,29,false,false
184,56,67,0,11,false,false
185,60,113,0,9,false,false
186,61,380,0,48,false,false
187,73,827,0,46,false,false
188,79,2022,0,27,false,false
189,71,807,0,30,false,false
190,12,255,9,0,false,false
191,34,20,0,40,false,false
192,63,2063,0,49,false,false
193,30,1448,0,7,false,false
194,9,2354,5,0,false,false
195,7,2008,1,0,false,true
196,63,2059,0,42,false,false
197,56,750,0,11,false,false
198,55,501,0,26,false,false
199,69,1126,0,30,false,false
200,49,960,0,5,false,false
201,35,1013,0,16,false,false
202,75,573,0,27,false,false
203,74,61,0,45,false,false
204,73,1971,0,19,false,false
205,51,917,0,31,false,false
206,54,945,0,46,false,true
207,29,836,10,0,false,false
208,59,461,0,33,false,false
209,52,1913,0,17,false,false
210,24,1235,5,0,false,false
211,71,831,0,40,false,false
212,6,667,10,0,false,false
213,15,607,4,0,false,false
214,76,275,0,44,false,false
215,67,66,0,38,false,false
216,56,2040,0,22,false,false
217,67,872,0,8,false,false
218,46,423,0,50,false,false
219,73,2220,0,8,false,false
220,10,1338,10,0,false,false
221,44,214,0,15,false,false
222,7,2419,6,0,false,false
223,79,518,0,21,false,false
224,74,1533,0,17,false,true
225,32,661,0,25,false,false
226,13,2460,7,0,false,false
227,66,958,0,13,false,false
228,58,583,0,27,false,false
229,26,955,3,0,false,false
230,30,1916,0,32,false,false
231,15,335,2,0,false,false
232,53,1532,0,40,false,false
233,69,2135,0,31,false,true
